Row last updated,Category,Data,Province,City,Fields,Link,Access Type,Data is machine readable,API,Available downloads,Update frequency,Data timeline,Data is freely available online,Data is machine readable,Context is provided,Available in bulk,Up-to-date,Incident-level data,LinkNum
8/22/2018,地面公交,公交线路信息,上海市,上海市,线路名称、上下行标志、线路所包含站点名称、首末车时间、所属公司、调度方式、运营时间,公交走向 ：http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AH1002016053 公交监管日统计信息：http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AH1002016052 公交线路首末班车时间：http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AH1002015005 公共交通基础管理与服务应用系统：http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AH1002016051,可直接获取,Yes,Yes,XLSX,每年,2018/3/14,Yes,Yes,Yes,Yes,Yes,No,4
8/22/2018,地面公交,公交站信息,上海市,上海市,线路名称、站点名称、站点编号、上下行标志,公共交通基础管理与服务应用系统：http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AH1002016051,可直接获取,Yes,Yes,XLSX,每年,2017/12/14,Yes,Yes,Yes,Yes,Yes,Yes,1
8/22/2018,班线客运,客运站信息,上海市,上海市,客运站名称、客运站地址、客运站电话,省级客运站：http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AH1002015027,可直接获取,No,Yes,XLSX,每半年,2018/6/26,Yes,No,Yes,Yes,Yes,Yes,1
8/22/2018,城市道路,城市道路线路信息,上海市,上海市,路段编码、路名、区属、类型、段起点、段止点、等级、长度、路段面积、人行道面积,城市道路信息：http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AH1002016021,可直接获取,Yes,Yes,XLSX,每年,2018/6/5,Yes,Yes,Yes,Yes,Yes,Yes,1
8/22/2018,城市道路,城市道路交通事故,上海市,上海市,管理部门、事故编号、事故地点、事故时间,交通事故记录：http://www.datashanghai.gov.cn/query!queryGdsInterfaceInfoById.action?dataId=2c90e4f356b0049c0156b6257a420cae,可直接获取,No,Yes,XLSX,?,2016/8/24,Yes,No,Yes,Unsure,Yes,No,1
8/22/2018,高速公路,高速公路路线信息,上海市,上海市,管理单位名称、起点经度、起点纬度、路线起点名称、路线起点桩号、路线简介、路线全称,公路路线详细信息：http://www.datashanghai.gov.cn/query!queryGdsInterfaceInfoById.action?dataId=2c90e4f360305efd01604ef97de33922,需申请获取,No,Yes,XLSX,?,2017/12/15,Yes,No,No,Unsure,Yes,No,1
8/22/2018,高速公路,高速公路桥梁信息,上海市,上海市,管理单位名称 、桥梁编号、经度、桥梁名称,公路桥梁详细信息：http://www.datashanghai.gov.cn/query!queryGdsInterfaceInfoById.action?dataId=2c90e4f360305efd01604efc89a43989,需申请获取,No,Yes,XLSX,?,2017/12/15,Yes,No,No,Unsure,Yes,No,1
8/22/2018,高速公路,高速公路桥梁信息（限定）,上海市,上海市,管理单位名称 、桥梁编号、经度、桥梁名称,公路桥梁详细信息：http://www.datashanghai.gov.cn/query!queryGdsInterfaceInfoById.action?dataId=2c90e4f360305efd01604efc89a43989,需申请获取,No,Yes,XLSX,?,2017/12/15,Yes,No,Yes,Unsure,Yes,No,1
8/22/2018,高速公路,高速公路隧道信息,上海市,上海市,隧道代码、隧道名称、隧道所在地点、管理单位名称、隧道入口桩号,公路隧道详细信息：http://www.datashanghai.gov.cn/query!queryGdsInterfaceInfoById.action?dataId=2c90e4f360305efd01604efe1060399b,需申请获取,No,Yes,XLSX,?,2017/12/15,Yes,No,No,Unsure,Yes,No,1
8/22/2018,高速公路,高速公路服务区信息,上海市,上海市,服务设施名称、服务区位置、服务区服务内容、纬度、经度,公路服务区信息：http://www.datashanghai.gov.cn/query!queryGdsInterfaceInfoById.action?dataId=2c90e4f360305efd01604eeaccb4384e,需申请获取,No,Yes,XLSX,?,2017/12/15,Yes,No,No,Unsure,Yes,No,1
8/22/2018,高速公路,高速公路服务区信息（限定）,上海市,上海市,服务设施名称、服务区位置、服务区服务内容、纬度、经度,公路服务区信息：http://www.datashanghai.gov.cn/query!queryGdsInterfaceInfoById.action?dataId=2c90e4f360305efd01604eeaccb4384e,需申请获取,No,Yes,XLSX,?,2017/12/15,Yes,No,Yes,Unsure,Yes,No,1
8/22/2018,高速公路,高速公路收费站流量数据,上海市,上海市,时间、网络编号、站点编号、收费路径、ETC流量、收费总流量、N类车流量、ETC收费流量、N类车收费流量、总流量,收费站出站1小时数据统计：http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AH1002017045 收费站进站1小时数据统计：http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AH1002017018 收费站出站5分钟数据统计：http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AH1002017019 收费站进站5分钟数据统计：http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AH1002017034,可直接获取,Yes,Yes,XLSX,每年,？,Yes,Yes,Yes,No,Yes,No,4
8/22/2018,高速公路,高速公路气象信息,上海市,上海市,设备号、时间、最大能见度、最小能见度、最高温度、最低温度、最大风速、雨量、最高湿度、最低湿度、最大地面结冰点、最大雨水强度、最大积雪,气象仪每日统计表：http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AH1002017022,可直接获取,No,Yes,XLSX,每年,?,Yes,No,No,No,Yes,No,1
8/22/2018,普通公路,普通公路路线信息,上海市,上海市,管理单位名称、起点经度、起点纬度、路线起点名称、路线起点桩号、路线简介、路线全称,公路路线详细信息：http://www.datashanghai.gov.cn/query!queryGdsInterfaceInfoById.action?dataId=2c90e4f360305efd01604ef97de33922,需申请获取,No,Yes,XLSX,?,2017/12/15,Yes,No,No,Unsure,Yes,No,1
8/22/2018,普通公路,普通公路路线信息（限定）,上海市,上海市,管理单位名称、起点经度、起点纬度、路线起点名称、路线起点桩号、路线简介、路线全称、桥梁书郎、隧道数量、涵洞数量,公路路线详细信息：http://www.datashanghai.gov.cn/query!queryGdsInterfaceInfoById.action?dataId=2c90e4f360305efd01604ef97de33922 公路桥梁信息：http://www.datashanghai.gov.cn/query!queryGdsInterfaceInfoById.action?dataId=2c90e4f360305efd01604efc89a43989 公路隧道信息：http://www.datashanghai.gov.cn/query!queryGdsInterfaceInfoById.action?dataId=2c90e4f360305efd01604efe1060399b 公路涵洞信息：http://www.datashanghai.gov.cn/query!queryGdsInterfaceInfoById.action?dataId=2c90e4f360305efd01604f0185cc39ba,需申请获取,Yes,Yes,XLSX,?,2017/12/15,Yes,Yes,Yes,Unsure,Yes,No,1
8/22/2018,普通公路,普通公路收费站流量数据,上海市,上海市,时间、网络编号、站点编号、收费路径、ETC流量、收费总流量、N类车流量、ETC收费流量、N类车收费流量、总流量,收费站出站1小时数据统计：http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AH1002017045 收费站进站1小时数据统计：http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AH1002017018 收费站出站5分钟数据统计：http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AH1002017019 收费站进站5分钟数据统计：http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AH1002017034,可直接获取,Yes,Yes,XLSX,每年,？,Yes,Yes,Yes,No,Yes,No,4
8/22/2018,水路,水路航道信息,上海市,上海市,航道名称、航道起讫点、里程公里、技术等级、现状等级、铁路桥梁数量、高速公路桥数量、普通公路桥数量、公铁两用桥数量、机耕桥梁数量、人行桥梁数量、其他桥梁数量、船闸数量、节制闸数量、碍航闸坝数量、架空管道数量、水下管道数量,航道：http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AH1002016040,可直接获取,Yes,Yes,XLSX,每年,2017/11/29,Yes,Yes,Yes,Yes,Yes,Yes,1
8/22/2018,轨道交通,轨道交通线路信息,北京市,北京市,路线名称、线路里程,轨道交通线路：http://www.bjdata.gov.cn/zyml/ajg/sjtw/6809.htm,可直接获取,No,No,XLSX,？,2012/7/19,Yes,No,Yes,No,Yes,No,1
8/22/2018,轨道交通,轨道交通站点信息,北京市,北京市,路线名称、是否可换乘,轨道交通站点：http://www.bjdata.gov.cn/zyml/ajg/sjtw/6808.htm,可直接获取,No,No,XLSX,？,2012/7/19,Yes,No,Yes,No,Yes,No,1
8/22/2018,班线客运,客运站信息,北京市,北京市,名称、地址 、场站等级,省际客运场站：http://www.bjdata.gov.cn/zyml/ajg/sjtw/6798.htm,可直接获取,No,Yes,XLSX,?,2012/7/19,Yes,No,Yes,No,Yes,No,1
8/22/2018,城市道路,城市道路线路信息,北京市,北京市,路线名称、起点名称、讫点名称、道路长度,主干路：http://www.bjdata.gov.cn/zyml/ajg/sjtw/6795.htm 快速路：http://www.bjdata.gov.cn/zyml/ajg/sjtw/6802.htm,可直接获取,Yes,No,XLSX,?,2012/7/19,Yes,Yes,Yes,No,Yes,No,2
8/22/2018,高速公路,高速公路路线信息,北京市,北京市,路线编码、路线名称、起点桩号、讫点桩号、里程,高速公路：http://www.bjdata.gov.cn/zyml/ajg/sjtw/6810.htm,可直接获取,No,No,XLSX,?,2012/7/19,Yes,No,Yes,No,Yes,No,1
8/22/2018,高速公路,高速公路气象信息,北京市,北京市,设备ID、所属区县、路线编号、路线名称 、行政等级 、点位名称、接受时间、大气温度 、湿度、露点、雨水关开、风速（10min，平均）、风向（10min，平均）、降水量 、雨水强度、雪高、能见度 、气压 、气温趋势、雨水级别 、太阳辐射 、太阳辐射（从P1通道）、最大风速 、最大风向,公路气象数据：http://www.bjdata.gov.cn/zyml/ajg/sjtw/6785.htm,可直接获取,No,Yes,XLSX,?,2018/3/31,Yes,No,No,No,Yes,No,2
8/22/2018,普通公路,普通公路路线信息,北京市,北京市,路线编码、路线名称、起点桩号、讫点桩号、里程,国道：http://www.bjdata.gov.cn/zyml/ajg/sjtw/6807.htm 省道：http://www.bjdata.gov.cn/zyml/ajg/sjtw/6799.htm,可直接获取,No,No,XLSX,?,2012/7/19,Yes,No,Yes,No,Yes,No,2
8/22/2018,地面公交,公交购IC卡信息,贵州省,贵阳市,地址、是否办理普卡业务、是否办理老年卡业务、办理时段、备注,公交IC卡充值点信息：http://www.gyopendata.gov.cn/city/datadetail.htm?resId=670000/3900765,可直接获取,No,No,XLSX,每年,2017/1/10,Yes,No,Yes,No,Yes,Yes,1
8/22/2018,班线客运,客运线路信息,贵州省,贵阳市,线路起止点、日发班次、发班时间、票价、正常运行时间、途经站点及票价、始发/配载、车辆型号、车辆级别、卧铺/座位,贵阳市汽车客运站班次票价时刻表：http://www.gyopendata.gov.cn/city/datadetail.htm?resId=670000/3900796,可直接获取,No,No,XLSX,半年,2018/3/15,Yes,No,Yes,Yes,Yes,Yes,1
8/22/2018,班线客运,客运站信息,贵州省,贵阳市,汽车站名称、电话、地址、场站等级,长途客运站：http://www.gyopendata.gov.cn/city/datadetail.htm?resId=670000/3900784 省际客运站场：http://www.gyopendata.gov.cn/city/datadetail.htm?resId=670000/3900759,可直接获取,No,No,XLSX,每年,2017/3/23,Yes,No,Yes,No,Yes,Yes,2
8/22/2018,班线客运,客运票价信息,贵州省,贵阳市,线路起止点、日发班次、发班时间、票价、正常运行时间、途经站点及票价、始发/配载、车辆型号、车辆级别、卧铺/座位,贵阳市汽车客运站班次票价时刻表：http://www.gyopendata.gov.cn/city/datadetail.htm?resId=670000/3900796,可直接获取,Yes,No,XLSX,半年,2018/3/15,Yes,Yes,Yes,Yes,Yes,Yes,1
8/22/2018,班线客运,客运售票点信息,贵州省,贵阳市,票务名称、地区、电话、地址,贵阳市汽车售票点：http://www.gyopendata.gov.cn/city/datadetail.htm?resId=670000/3900763,可直接获取,No,No,XLSX,每年,2017/3/23,Yes,No,Yes,No,Yes,Yes,1
8/22/2018,枢纽,枢纽信息,贵州省,贵阳市,所在区的名称、场站名称、场站类型、位置占地面积（㎡）、是否具备维修保养功能、是否具备加油加气功能、备注,主要公交枢纽站信息：http://www.gyopendata.gov.cn/city/datadetail.htm?resId=670000/3900781,可直接获取,No,No,XLSX,每年,2017/1/10,Yes,No,Yes,No,Yes,Yes,1
8/22/2018,地面公交,公交线路信息,广东省,深圳市,线路编号、线路名称、线路类型、起点站、终点站、状态、公交公司ID,公交线路信息：http://opendata.sz.gov.cn/dataapi/toApiDetail/710/1,可直接获取,No,Yes,XLSX,每年,2018/8/8,Yes,No,Yes,Yes,Yes,Yes,1
8/22/2018,班线客运,客运站信息,广东省,深圳市,名称、地址、场站等级,长途客运场站：http://opendata.sz.gov.cn/dataapi/toApiDetail/3123/1,可直接获取,No,Yes,XLSX,每年,2018/8/8,Yes,No,Yes,Yes,Yes,Yes,1
8/22/2018,城市道路,城市道路线路信息,广东省,深圳市,路名、区属、类型、段起点、段止点、等级、长度、路段面积、人行道面积,城市道路信息：http://opendata.sz.gov.cn/dataapi/toApiDetail/3085/2,可直接获取,Yes,Yes,XLSX,每年,2018/6/26,Yes,Yes,Yes,Yes,Yes,Yes,1
8/22/2018,出租汽车,出租汽车扬招点,黑龙江省,哈尔滨市,区域、具体乘降点位,哈尔滨出租汽车乘降点信息：http://data.harbin.gov.cn/odweb/catalog/catalogDetail.htm?cata_id=78391#,可直接获取,No,No,XLSX,每年,2017/5/16,Yes,No,Yes,No,Yes,Yes,1
8/22/2018,班线客运,客运站信息,黑龙江省,哈尔滨市,站名、地址、热线电话,哈尔滨客运站信息：http://data.harbin.gov.cn/odweb/catalog/catalogDetail.htm?cata_id=78559,可直接获取,No,No,XLSX,每年,2017/5/17,Yes,No,Yes,No,Yes,Yes,1
8/22/2018,班线客运,客运票价信息,黑龙江省,哈尔滨市,车次、班时、车型、始发站、终到站、里程、票价,哈尔滨道外站客运站班次信息：http://data.harbin.gov.cn/odweb/catalog/catalogDetail.htm?cata_id=71268 哈尔滨市南岗站客运站班次信息：http://data.harbin.gov.cn/odweb/catalog/catalogDetail.htm?cata_id=70301 哈尔滨市三棵树客运站班次信息：http://data.harbin.gov.cn/odweb/catalog/catalogDetail.htm?cata_id=70412 哈尔滨市哈西站班客运站次信息：http://data.harbin.gov.cn/odweb/catalog/catalogDetail.htm?cata_id=71313,可直接获取,No,No,XLSX,每年,2017/4/26,Yes,No,Yes,No,Yes,Yes,4
8/22/2018,水路,码头信息,黑龙江省,哈尔滨市,港口经营人名称、港口经营人所属区县、所在内河航道、泊位数量、泊位长度、码头水深、设计停靠能力,哈尔滨市港口基本信息：http://data.harbin.gov.cn/odweb/catalog/catalogDetail.htm?cata_id=70021,可直接获取,No,No,XLSX,每年,2017/4/25,Yes,No,No,No,Yes,Yes,1
8/22/2018,地面公交,公交线路信息,山东省,济南市,线路、起点、终点、运营时间,济南市公交线路：http://www.jndata.gov.cn/odweb/catalog/catalogDetail.htm?cata_id=a1f02d5ccfcb444c89d4b690e5cf9df9,可直接获取,No,Yes,XLSX,按需,2018/7/5,Yes,No,Yes,Unsure,Yes,No,1
8/22/2018,地面公交,公交购IC卡信息,山东省,济南市,网点名称、地址、发售范围、营业时间、途经线路、下车站点,济南市公交服务网点：http://www.jndata.gov.cn/odweb/catalog/catalogDetail.htm?cata_id=370138280,可直接获取,No,Yes,XLSX,按需,2017/11/7,Yes,No,Yes,Unsure,Yes,Yes,1
8/22/2018,出租汽车,出租汽车基础数据,山东省,济南市,业户名称、许可证号、业户地址、类型、车牌号、车牌颜色、经营范围、座位、吨位、厂牌、型号、注册日期、运营年限止、年审有效期止,济南市出租汽车车辆运营证核发：http://www.jndata.gov.cn/odweb/catalog/catalogDetail.htm?cata_id=1d5922a4a2cd49769873c1d519fea792,可直接获取,Yes,Yes,XLSX,每月,2018/6/22,Yes,Yes,No,No,Yes,Yes,1
8/22/2018,班线客运,客运线路信息,山东省,济南市,经营者名称、标志牌号、线路、车牌,济南市运输管理处道路旅客运输班线信息：http://data.sd.gov.cn/odweb/catalog/catalogDetail.htm?cata_id=370133528,可直接获取,No,Yes,XLSX,按需,2018/3/6,Yes,No,Yes,Unsure,Yes,Yes,1
8/22/2018,班线客运,客运站信息,山东省,济南市,站名、级别、建站时间、场地面积、候车室面积,济南市长途汽车站：http://www.jndata.gov.cn/odweb/catalog/catalogDetail.htm?cata_id=0b4f6939b4d8499e95ae3b6f640ed538,可直接获取,No,Yes,XLSX,按需,2018/7/18,Yes,No,Yes,Unsure,Yes,Yes,1
8/22/2018,城市道路,城市道路线路信息,山东省,济南市,道路名称、道路等级、起止地点、道路长度、面层类型、管养单位、监管单位,济南市市政道路设施情况表：http://www.jndata.gov.cn/odweb/catalog/catalogDetail.htm?cata_id=370134828,可直接获取,Yes,Yes,XLSX,每年,2018/3/6,Yes,Yes,Yes,Yes,Yes,Yes,1
8/22/2018,普通公路,普通公路路线信息,山东省,济南市,路线编号、重复路线编号、路线名称、路线简称、道路等级、起点桩号、止点桩号、车道数、路基宽度、铺设材料、里程、路面宽度,济南市公路信息：http://www.jndata.gov.cn/odweb/catalog/catalogDetail.htm?cata_id=7e98c0d8ca5d4f56b3ca295985df2c38,可直接获取,No,Yes,XLSX,按需,？,Yes,No,Yes,Unsure,Yes,No,1
8/22/2018,地面公交,公交购IC卡信息,广东省,广州市,名称、地址、营业时间、行政区,羊城通客服网点：http://www.gddata.gov.cn/index.php/data/datasetdetail/id/1845.html 羊城通充值网点：http://www.gddata.gov.cn/index.php/data/datasetdetail/id/1844.html,可直接获取,No,No,XLSX,按需,2018/6/13,Yes,No,Yes,Yes,Yes,No,2
8/22/2018,班线客运,客运站信息,广东省,广州市,名称、地址、电话,广州汽车客运站信息：http://www.gddata.gov.cn/index.php/data/datasetdetail/id/1853.html,可直接获取,No,No,XLSX,按需,2018/6/13,Yes,No,Yes,Yes,Yes,No,1
8/22/2018,高速公路,高速公路收费站信息,广东省,广州市,收费站编码 、收费站名称、收费站简称、所在路线技术等级、收费站收费性质、收费站类型、收费站位置类型、收费方向、入口车道数、入口ETC车道数、出口车道数、出口ETC车道数、经度、纬度,收费站基本信息：http://www.gddata.gov.cn/index.php/data/datasetdetail/id/181.html,可直接获取,No,No,XLSX,按需,2016/9/7,Yes,No,Yes,Unsure,Yes,No,1
8/22/2018,普通公路,普通公路收费站信息,广东省,广州市,收费站编码 、收费站名称、收费站简称、所在路线技术等级、收费站收费性质、收费站类型、收费站位置类型、收费方向、入口车道数、入口ETC车道数、出口车道数、出口ETC车道数、经度、纬度,收费站基本信息：http://www.gddata.gov.cn/index.php/data/datasetdetail/id/181.html,可直接获取,No,No,XLSX,按需,2016/9/7,Yes,No,Yes,Unsure,Yes,No,1
8/22/2018,普通公路,普通公路收费站信息（限定）,广东省,广州市,收费站编码 、收费站名称、收费站简称、所在路线技术等级、收费站收费性质、收费站类型、收费站位置类型、收费方向、入口车道数、入口ETC车道数、出口车道数、出口ETC车道数、经度、纬度,收费站基本信息：http://www.gddata.gov.cn/index.php/data/datasetdetail/id/181.html,可直接获取,No,No,XLSX,按需,2016/9/7,Yes,No,No,Unsure,Yes,No,1
8/22/2018,高速公路,高速公路服务区信息,广东省,广州市,所属高速编码、所属高速名称、服务区名称、服务内容,服务区基本信息：http://www.gddata.gov.cn/index.php/data/datasetdetail/id/190.html,可直接获取,No,No,XLSX,按需,2016/9/21,Yes,No,Yes,Unsure,Yes,No,1
8/22/2018,水路,码头信息,广东省,广州市,港口名称、监管单位,港口基本信息：http://www.gddata.gov.cn/index.php/data/datasetdetail/id/191.html,可直接获取,No,No,XLSX,按需,2016/9/21,Yes,No,No,Unsure,Yes,No,1
8/22/2018,出租汽车,出租汽车基础数据,贵州省,贵州省,燃油类型、厂牌编号、所属企业、是否企业车辆、车辆牌号、道路运输证号,出租车运营车辆基本信息：http://www.gzdata.gov.cn/detail.html?id=1474441964297,可直接获取,No,No,XLSX,每年,2018/4/7,Yes,No,No,Yes,Yes,No,1
8/22/2018,高速公路,高速公路收费站信息,贵州省,贵州省,路线编号、路线名称、收费站名称、收费站编号,高速收费站列表：http://www.gzdata.gov.cn/detail.html?id=1474441963941,可直接获取,No,Yes,XLSX,实时,2018/4/13,Yes,No,Yes,No,Yes,No,1
8/22/2018,地面公交,公交线路信息,浙江省,杭州市,线路编号、上行始发站、下行始发站、上行营运时间、下行营运时间、里程上行、里程下行、站点上行、站点下行,城市公交线路信息：https://transportdata.cn/traffictravel/open/detail?id=932&dataClass=static,可直接获取,No,No,XLSX,半年,2018/5/18,Yes,No,Yes,Yes,Yes,No,1
8/22/2018,出租汽车,出租车辆定位数据（样例）,浙江省,杭州市,车辆id，定位时间，经度，纬度，速度，方向，车辆状态（空车0/重车1）,出租车定位数据样例：https://transportdata.cn/traffictravel/open/detail?id=181&dataClass=static,需申请获取,No,No,XLSX,,2017/4/25,Yes,No,No,Yes,Yes,No,1
8/22/2018,轨道交通,轨道交通线路信息,浙江省,杭州市,线路名称、上下行标志、站点名称、首末车时间,轨道交通线路信息：https://transportdata.cn/traffictravel/open/detail?id=926&dataClass=static,可直接获取,No,No,XLSX,半年,2018/5/18,Yes,No,Yes,Yes,Yes,No,1
8/22/2018,班线客运,客运站信息,浙江省,杭州市,客运站名称、所属行政区划、站场级别、经纬度、联系电话,长途客运站信息：https://transportdata.cn/traffictravel/open/detail?id=923&dataClass=static,可直接获取,No,No,XLSX,半年,2018/5/18,Yes,No,Yes,Yes,Yes,No,1
8/22/2018,班线客运,客运站信息（限定）,浙江省,杭州市,客运站名称、所属行政区划、站场级别、经纬度、联系电话,长途客运站信息：https://transportdata.cn/traffictravel/open/detail?id=923&dataClass=static,可直接获取,No,No,XLSX,半年,2018/5/18,Yes,No,No,Yes,Yes,No,1
8/22/2018,班线客运,客运票价信息,浙江省,杭州市,始发站、达到站、终点站、车票类型、车票有效期、座位类型、车辆类型、票价,长途客运票价信息：https://transportdata.cn/traffictravel/open/detail?id=924&dataClass=static,可直接获取,Yes,No,XLSX,半年,2018/5/18,Yes,Yes,Yes,Yes,Yes,No,1
8/22/2018,班线客运,客运售票点信息,浙江省,杭州市,售票点名称、电话,长途车票售票点信息：https://transportdata.cn/traffictravel/open/detail?id=925&dataClass=static,可直接获取,No,No,XLSX,半年,2018/5/18,Yes,No,Yes,Yes,Yes,No,1
8/22/2018,班线客运,客运线路信息,吉林省,吉林省,线路编码、线路名称、始发站、终点站、途经站、里程、区域类型、运营企业组织机构编码、运营企业、车牌颜色、车牌编号、运营车辆类型、座位数、道路运输证核发机关、是否在使用,吉林省汽车站的站点信息、各个汽车站的班次信息、线路信息：https://transportdata.cn/traffictravel/open/detail?id=890&dataClass=static 吉林省-班线客运-客运线路信息：https://transportdata.cn/traffictravel/open/detail?id=183&dataClass=static,可直接获取,No,No,XLSX,每月,2017/4/27,Yes,No,Yes,No,Yes,No,2
